Address,Beds,Baths,House Size (sqft),Lot Size (ac),Type,Price,Postal Code
"10 Robin Dr, Fredericton, New Brunswick, E3C 1K6",5,2,1600,0.177,            Residential        ,259900,E3C 1K6
"03-2 Glebe Rd, Saint Andrews, New Brunswick",,,,1.14,            Residential        ,11400,E5B2Z5
"62 Parkin Street, Salisbury, New Brunswick, E4J 2N3",3,2,3790,0.85,            Residential        ,549900,E4J 2N3
"14 Murray Lane, St. Andrews, New Brunswick",4,2,2200,1.15,            Residential        ,449500,E3L4M6
"140 Orleans St., Dieppe, New Brunswick, E1A 1W9",4,3,2808,0.124,            Residential        ,236900,E1A 1W9
"41 Eagle's Passage, Greater Saint Andrews, New Brunswick",3,3,2160,1,            Residential        ,794997,E5B0A9
"7725 Rte 515, Saint-Paul, New Brunswick",2,1,1350,1,            Residential        ,80000,E4T3R4
"133 Daigle Rd., Pointe-Sapin, New Brunswick",4,2,2168,0.99,            Residential        ,169900,E9A1T7
"93 Principale, Memramcook, New Brunswick, E4K 1A7",5,4,5286,6.2,            Residential        ,799900,E4K 1A7
"294 Carleton St, Saint Andrews, New Brunswick",2,2,1592,0.11,            Residential        ,259000,E5B1P2
"624 Royal Oaks Boulevard, Moncton, New Brunswick, E1H 3S7",2,2,1232,0.134,            Residential        ,264900,E1H 3S7
"3574 Route 127, Saint Andrews, New Brunswick",,,,11,            Residential        ,110000,E5B2W5
"517 Canal Rd, St. George, New Brunswick, E5C 1H6",3,2,1560,3.8,            Residential        ,298000,E5C 1H6
"13 Bulmer Lane, Sackville, NB, Sackville, New Brunswick, E4L 3R3",3,1,1214,0.4,            Residential        ,134900,E4L 3R3
"175 Daigle Rd, Pointe-Sapin, New Brunswick",1,,880,2.5,            Residential        ,74900,E9A1T7
"1 Baie Vista CRT, Shediac Cape, New Brunswick, E4P 2Y7",3,2,3440,,            Residential        ,475500,E4P 2Y7
"5185 Route 127, St. Andrews, New Brunswick",4,2,1675,1.17,            Residential        ,259000,E5B3A7
"30 Berkley Drive, Riverview, New Brunswick, E1B 2L6",4,3,1735,869,            Residential        ,239900,E1B 2L6
"Lot 07-02 Comeau Point Rd, Shemogue, New Brunswick, E4N 3B4",,,,1.98,            Residential        ,34900,E4N 3B4
"48 Augustus St, Saint Andrews, New Brunswick",3,2,1778,0.294,            Residential        ,449000,E5B2E7
"83 Don-De Dieu Dr, Bayside, New Brunswick",,,,1,            Residential        ,149000,E5B3Y2
"38 Ernest St, Saint Andrews, New Brunswick",4,3,4362,,            Residential        ,699000,E5B2E1
"45 Argyle Court, Saint Andrews, New Brunswick",,,,0.219,            Residential        ,64997,E5B2H7
"34 Maggie Lane, Miramichi, New Brunswick, E1V 6E4",4,3,1249,1,            Residential        ,189900,E1V 6E4
"133 Daigle Rd., Pointe-Sapin, New Brunswick",4,2,2168,0.99,            Residential        ,169900,E9A1T7
"13 Bulmer Lane, Sackville, NB, Sackville, New Brunswick, E4L 3R3",3,1,1214,0.4,            Residential        ,134900,E4L 3R3
"117 Anne's Acres, Bayfield, NB, Murray Corner, New Brunswick",4,3,2691,1.005,            Residential        ,259900,E4M3K8
"45 Argyle Court, Saint Andrews, New Brunswick",,,,0.219,            Residential        ,64997,E5B2H7
"38 Ernest St, Saint Andrews, New Brunswick",4,3,4362,,            Residential        ,699000,E5B2E1
"41 Eagle's Passage, Greater Saint Andrews, New Brunswick",3,3,2160,1,            Residential        ,794997,E5B0A9
"3574 Route 127, Saint Andrews, New Brunswick",,,,11,            Residential        ,110000,E5B2W5
"626 Royal Oaks Boulevard, Moncton, New Brunswick, E1H 3S7",2,2,1232,0.134,            Residential        ,263900,E1H 3S7
"66 Neville Street, Fredericton, New Brunswick, E3A4Z5",3,2,2750,,            Single Family        ,239900,E3A4Z5
"21 Chalets LANE, Richibucto, New Brunswick",2,1,768,,            Single Family        ,224995,E4W5W9
#NAME?,2,1,576,,            Single Family        ,104500,E4Z2A8
"103 Canaan Drive, Rusagonis - Waasis, New Brunswick",3,3,2272,,            Single Family        ,279900,E3B0B6
"26 Brickyard Road, Lepreau, New Brunswick",4,2,,,            Single Family        ,125000,E5J1E4
"40 Damien Unit 2, Dieppe, New Brunswick, E1A7T2",2,1,935,,            Single Family        ,101500,E1A7T2
"60 T J McMackin, Greater Salisbury, New Brunswick",1,1,720,,            Single Family        ,86900,E4J2N5
"298 French Lake Road, French Lake, New Brunswick",3,2,1245,,            Single Family        ,94900,E2V4E2
"469 Belleisle Shore Road, Kars, New Brunswick",,,,,            Vacant Land        ,169900,E5T3E9
