Address,Beds,Baths,House Size,Lot Size,Type,Price
"3624 Route 530, Grande Digue, New Brunswick",5,2,1536,,"
            Single Family
        ",239900
"582 Chartersville, Dieppe, New Brunswick, E1A1K6",4,2,966,,"
            Single Family
        ",196900
"90 Westminster Court, Millidgeville, New Brunswick",3,3,2441,,"
            Single Family
        ",339000
"138 Britain Street, Saint John Centre, New Brunswick",,,3267,,"
            Multi-family
        ",140000
"10 & 14 107 Route, Nashwaak Bridge, New Brunswick",5,2,,,"
            Single Family
        ",139900
"111 Janice, Moncton, New Brunswick, E1A0C5",4,2,1248,,"
            Single Family
        ",269900
"63 Nightingale Lane, Quispamsis, New Brunswick, E2E3T1",3,3,,,"
            Single Family
        ",364900
"101 Leinster Street, Saint John Centre, New Brunswick",,,2800,,"
            Multi-family
        ",379000
"516 Riverside Drive Unit 4, Fredericton, New Brunswick, E3A8C2",2,2,,,"
            Single Family
        ",164900
"333 Elmore CRT, Riverview, New Brunswick, E1B2L3",4,2,1077,,"
            Single Family
        ",230000
"2 Lindsay Lane, St. Stephen, New Brunswick, E3L0B2",3,2,,,"
            Single Family
        ",225000
"LOT 11 Headland Road, Kingsclear, New Brunswick, E2E0E5",,,,,"
            Vacant Land
        ",99500
"186 Williston Drive, Miramichi, New Brunswick, E1V5W9",3,1,,,"
            Single Family
        ",159900
"972 St-François Street, Edmundston, New Brunswick, E3V4R2",2,2,2000,,"
            Single Family
        ",159500
"546 Emblem Court, Oromocto, New Brunswick, E2V1H7",2,1,1200,,"
            Single Family
        ",149900
"217 McClellan, Riverview, New Brunswick, E1B1X3",3,1,1232,,"
            Single Family
        ",164900
"155 Lian Street Unit 436, Fredericton, New Brunswick, E3C0L9",2,1,,,"
            Single Family
        ",199900
"3 Wallace CRT, Riverview, New Brunswick, E1B3V2",4,3,3272,,"
            Single Family
        ",274900
"Lot A Wilsey Road, Rusagonis - Waasis, New Brunswick",,,,,"
            Vacant Land
        ",59900
"63 Thorncastle ST, Lutes Mountain, New Brunswick, E1G0S6",4,3,1900,,"
            Single Family
        ",599900
"Lot 4 Motivation Avenue, Quispamsis, New Brunswick, E2G2A1",,,,,"
            Vacant Land
        ",129500
"Lot 04-20 Wayne ST, Shediac, New Brunswick, E4P2W8",,,,,"
            Vacant Land
        ",49000
"72 Watters Drive, Fredericton, New Brunswick, E3A3T2",3,2,,,"
            Single Family
        ",179900
"920 Coverdale RD, Riverview, New Brunswick, E1B5E5",5,5,6352,,"
            Single Family
        ",679000
"831 Dever Road, Greendale, New Brunswick",3,2,,,"
            Single Family
        ",209900
"69 Acadie, Bouctouche, New Brunswick, E4S2T7",3,1,1680,,"
            Single Family
        ",198000
"1087 Route 850, Kiersteadville, New Brunswick",3,1,,0.416,"
            Single Family
        ",199900
"313 Lavoie, Dieppe, New Brunswick, E1A6R8",6,5,4087,,"
            Single Family
        ",559900
"160 Nevers Road, Nevers Road, New Brunswick",3,1,,,"
            Single Family
        ",129900
"129 Todd Street, Glen Falls - Golden Grove, New Brunswick",4,2,1250,,"
            Single Family
        ",99000
"148 Route 825, Killarney Road, New Brunswick",2,1,768,,"
            Single Family
        ",114800
