Address,Beds,Baths,House Size,Lot Size,Type,Price
,5.0,2.0,1600.0,0.177,"
            Residential
        ",259900
,,,,1.14,"
            Residential
        ",11400
,3.0,2.0,3790.0,0.85,"
            Residential
        ",549900
,4.0,2.0,2200.0,1.15,"
            Residential
        ",449500
,4.0,3.0,2808.0,0.124,"
            Residential
        ",236900
,3.0,3.0,2160.0,1.0,"
            Residential
        ",794997
,2.0,1.0,1350.0,1.0,"
            Residential
        ",80000
,4.0,2.0,2168.0,0.99,"
            Residential
        ",169900
,5.0,4.0,5286.0,6.2,"
            Residential
        ",799900
,2.0,2.0,1592.0,0.11,"
            Residential
        ",259000
,2.0,2.0,1232.0,0.134,"
            Residential
        ",264900
,,,,11.0,"
            Residential
        ",110000
,3.0,2.0,1560.0,3.8,"
            Residential
        ",298000
,3.0,1.0,1214.0,0.4,"
            Residential
        ",134900
,1.0,,880.0,2.5,"
            Residential
        ",74900
,3.0,2.0,3440.0,,"
            Residential
        ",475500
,4.0,2.0,1675.0,1.17,"
            Residential
        ",259000
,4.0,3.0,1735.0,869.0,"
            Residential
        ",239900
,,,,1.98,"
            Residential
        ",34900
,3.0,2.0,1778.0,0.294,"
            Residential
        ",449000
,,,,1.0,"
            Residential
        ",149000
,4.0,3.0,4362.0,,"
            Residential
        ",699000
,,,,0.21899999999999997,"
            Residential
        ",64997
,4.0,3.0,1249.0,1.0,"
            Residential
        ",189900
,4.0,2.0,2168.0,0.99,"
            Residential
        ",169900
,3.0,1.0,1214.0,0.4,"
            Residential
        ",134900
,4.0,3.0,2691.0,1.005,"
            Residential
        ",259900
,,,,0.21899999999999997,"
            Residential
        ",64997
,4.0,3.0,4362.0,,"
            Residential
        ",699000
,3.0,3.0,2160.0,1.0,"
            Residential
        ",794997
,,,,11.0,"
            Residential
        ",110000
,2.0,2.0,1232.0,0.134,"
            Residential
        ",263900
,3.0,2.0,2750.0,,"
            Single Family
        ",239900
,2.0,1.0,768.0,,"
            Single Family
        ",224995
,2.0,1.0,576.0,,"
            Single Family
        ",104500
,3.0,3.0,2272.0,,"
            Single Family
        ",279900
,4.0,2.0,,,"
            Single Family
        ",125000
,2.0,1.0,935.0,,"
            Single Family
        ",101500
,1.0,1.0,720.0,,"
            Single Family
        ",86900
,3.0,2.0,1245.0,,"
            Single Family
        ",94900
,,,,,"
            Vacant Land
        ",169900
,3.0,2.0,,,"
            Single Family
        ",179900
,3.0,2.0,1350.0,,"
            Single Family
        ",189900
,3.0,2.0,,,"
            Single Family
        ",269900
,2.0,1.0,1176.0,,"
            Single Family
        ",139900
,2.0,3.0,1720.0,,"
            Single Family
        ",364900
,2.0,2.0,1560.0,,"
            Residential
        ",285000
,4.0,2.0,,0.294,"
            Single Family
        ",264900
,3.0,2.0,572.0,,"
            Single Family
        ",115000
,3.0,5.0,4200.0,,"
            Single Family
        ",799000
,3.0,2.0,,0.215,"
            Single Family
        ",189900
,3.0,1.0,1000.0,,"
            Single Family
        ",89900
,1.0,1.0,854.0,,"
            Single Family
        ",259900
,3.0,1.0,,,"
            Single Family
        ",124900
,3.0,2.0,1600.0,,"
            Multi-family
        ",126500
,3.0,2.0,,,"
            Single Family
        ",128000
,5.0,2.0,,,"
            Single Family
        ",279900
,4.0,2.0,1322.0,,"
            Single Family
        ",285000
,,,,,"
            Vacant Land
        ",12500
,3.0,1.0,800.0,,"
            Single Family
        ",169900
,2.0,1.0,940.0,,"
            Single Family
        ",189900
,,,,,"
            Vacant Land
        ",99900
,4.0,2.0,1680.0,,"
            Single Family
        ",324500
,4.0,2.0,800.0,,"
            Single Family
        ",249000
,2.0,1.0,856.0,,"
            Single Family
        ",69900
,4.0,3.0,1348.0,,"
            Single Family
        ",219500
,4.0,3.0,,,"
            Single Family
        ",360000
,4.0,2.0,1092.0,,"
            Single Family
        ",254900
,4.0,2.0,1600.0,,"
            Single Family
        ",264900
,,,,,"
            Vacant Land
        ",99900
,3.0,3.0,,,"
            Single Family
        ",319900
,3.0,2.0,1000.0,,"
            Single Family
        ",234900
,,,,,"
            Vacant Land
        ",99900
,,,,,"
            Vacant Land
        ",69900
,,,,9.04,"
            Lots and Land
        ",69500
,5.0,3.0,1519.0,,"
            Single Family
        ",369900
,3.0,1.0,1000.0,,"
            Single Family
        ",89900
,,,,,"
            Vacant Land
        ",17500
,3.0,2.0,1768.0,,"
            Single Family
        ",384900
,3.0,2.0,1600.0,,"
            Single Family
        ",109900
,,,,1.014,"
            Vacant Land
        ",7500
,4.0,2.0,2122.0,,"
            Single Family
        ",248800
,3.0,5.0,4200.0,,"
            Single Family
        ",799000
,,,,,"
            Vacant Land
        ",25000
,4.0,1.0,1771.0,,"
            Residential
        ",119996
,3.0,2.0,,,"
            Single Family
        ",295000
,3.0,2.0,1962.0,,"
            Single Family
        ",229900
,3.0,3.0,,,"
            Single Family
        ",319900
,3.0,1.0,1209.0,0.195,"
            Residential
        ",144900
,,,,,"
            Vacant Land
        ",12500
,3.0,2.0,,0.215,"
            Single Family
        ",189900
,,,,,"
            Vacant Land
        ",169900
,4.0,1.0,1708.0,,"
            Single Family
        ",159700
,,,,,"
            Vacant Land
        ",99900
,3.0,2.0,2750.0,,"
            Single Family
        ",239900
,1.0,1.0,720.0,,"
            Single Family
        ",86900
,2.0,1.0,,,"
            Single Family
        ",199000
,5.0,2.0,,,"
            Single Family
        ",149900
,1.0,1.0,1138.0,,"
            Residential
        ",144500
,2.0,1.0,840.0,,"
            Single Family
        ",134900
,4.0,2.0,1092.0,,"
            Single Family
        ",254900
,5.0,3.0,2728.0,1.173,"
            Residential
        ",339900
,4.0,3.0,1348.0,,"
            Single Family
        ",219500
,3.0,1.0,,,"
            Single Family
        ",124900
,2.0,1.0,768.0,,"
            Single Family
        ",224995
,3.0,2.0,,,"
            Single Family
        ",269900
,,,,,"
            Vacant Land
        ",99900
,2.0,1.0,935.0,,"
            Single Family
        ",101500
,4.0,2.0,800.0,,"
            Single Family
        ",249000
,4.0,2.0,,0.294,"
            Single Family
        ",264900
,3.0,2.0,1152.0,,"
            Single Family
        ",72900
,4.0,2.0,2800.0,,"
            Single Family
        ",239900
,3.0,2.0,1000.0,,"
            Single Family
        ",234900
,3.0,2.0,1566.0,,"
            Single Family
        ",205000
,2.0,3.0,1566.0,,"
            Single Family
        ",199900
,4.0,2.0,1600.0,,"
            Single Family
        ",264900
,2.0,1.0,1176.0,,"
            Single Family
        ",139900
,3.0,2.0,1350.0,,"
            Single Family
        ",189900
,3.0,1.0,1250.0,,"
            Single Family
        ",149900
,2.0,1.0,856.0,,"
            Single Family
        ",69900
,3.0,3.0,2272.0,,"
            Single Family
        ",279900
,2.0,2.0,1584.0,,"
            Single Family
        ",228500
,4.0,2.0,1322.0,,"
            Single Family
        ",285000
,,,,,"
            Single Family
        ",65000
,,,256.0,,"
            Single Family
        ",34000
,3.0,2.0,,,"
            Single Family
        ",189000
,2.0,1.0,1100.0,,"
            Single Family
        ",145000
,2.0,1.0,,,"
            Single Family
        ",119000
,4.0,2.0,960.0,,"
            Single Family
        ",186500
,4.0,2.0,,,"
            Single Family
        ",74900
,3.0,2.0,,,"
            Single Family
        ",128000
,4.0,2.0,,,"
            Residential
        ",189900
,4.0,2.0,2600.0,3.0,"
            Residential
        ",189900
,,,,1.3,"
            Lots And Land
        ",25000
,4.0,2.0,,,"
            Residential
        ",289900
,2.0,,1370.0,,"
            Residential
        ",269900
,3.0,2.0,1456.0,,"
            Residential
        ",283000
,5.0,2.0,1233.0,0.551,"
            Residential
        ",179900
,3.0,1.0,1232.0,,"
            Residential
        ",126500
,3.0,2.0,1950.0,,"
            Residential
        ",459500
,3.0,2.0,1423.0,,"
            Residential
        ",230000
,3.0,2.0,2181.0,3.0,"
            Residential
        ",399900
,2.0,1.0,,,"
            Residential
        ",39000
,3.0,3.0,,,"
            Residential
        ",299900
,2.0,1.0,,,"
            Residential
        ",39000
,3.0,3.0,,,"
            Residential
        ",299900
,1.0,1.0,908.0,5.0,"
            Other
        ",59900
,,,,,"
            Lots And Land
        ",35000
,,,,,"
            Lots And Land
        ",39900
,,,,95.88,"
            Residential
        ",275000
,5.0,3.0,1505.0,0.995,"
            Residential
        ",324900
,3.0,2.0,1348.0,0.73,"
            Residential
        ",149900
,2.0,1.0,820.0,,"
            Residential
        ",94000
,4.0,1.0,,,"
            Residential
        ",124900
,,,,2.75,"
            Lots And Land
        ",79900
,,,,,"
            Lots And Land
        ",39900
,2.0,2.0,4978.0,0.311,"
            Residential
        ",225000
,4.0,1.0,1248.0,0.5,"
            Residential
        ",169900
,,,,1.228,"
            Lots And Land
        ",29900
,,,,,"
            Residential
        ",23000
,3.0,2.0,,,"
            Residential
        ",267000
,6.0,3.0,4000.0,0.7,"
            Residential
        ",224900
,1.0,,320.0,0.66,"
            Residential
        ",51999
,,,,,"
            Lots And Land
        ",15000
,,,,1.3,"
            Lots And Land
        ",34500
,4.0,3.0,,,"
            Residential
        ",269000
,2.0,1.0,768.0,1.04,"
            Residential
        ",89900
,,,,1.0,"
            Lots And Land
        ",75000
,2.0,1.0,1120.0,0.321,"
            Residential
        ",134900
,,,,23.0,"
            Lots And Land
        ",27000
,4.0,2.0,,1.17,"
            Residential
        ",329900
,3.0,1.0,,,"
            Residential
        ",99000
,2.0,1.0,,,"
            Residential
        ",55000
,4.0,3.0,3092.0,1.3,"
            Residential
        ",279900
,,,,2.0,"
            Lots And Land
        ",11500
,,,,3.9,"
            Lots And Land
        ",59900
,,,,1.0,"
            Lots And Land
        ",50000
,3.0,1.0,,,"
            Residential
        ",198900
,2.0,1.0,,,"
            Residential
        ",69000
,3.0,2.0,4026.0,,"
            Residential
        ",295500
,6.0,2.0,2200.0,0.3,"
            Residential
        ",139900
,4.0,2.0,,,"
            Residential
        ",199500
,,,,2.056,"
            Residential
        ",49000
,2.0,2.0,1232.0,0.13,"
            Residential
        ",264900
,,,,19.5,"
            Lots And Land
        ",98000
,2.0,2.0,1800.0,5.0,"
            Residential
        ",183500
,6.0,4.0,2400.0,1.9,"
            Residential
        ",499900
,5.0,1.0,2100.0,0.31,"
            Residential
        ",143900
,,,,,"
            Lots And Land
        ",50000
,,,,,"
            Lots And Land
        ",89000
,,,,,"
            Residential
        ",165000
,,,,1.6,"
            Lots And Land
        ",14900
,,,,1.228,"
            Lots And Land
        ",29900
,,,,5.0,"
            Lots And Land
        ",29990
,,,,,"
            Lots And Land
        ",150000
,,,,1.0,"
            Lots And Land
        ",50000
,4.0,2.0,2300.0,0.7240000000000001,"
            Residential
        ",274900
,1.0,1.0,1200.0,,"
            Residential
        ",249000
,3.0,1.0,1960.0,2.9,"
            Residential
        ",249900
,2.0,1.0,840.0,,"
            Other
        ",45000
,,,,,"
            Lots And Land
        ",49000
,4.0,3.0,2168.0,0.14800000000000002,"
            Residential
        ",364900
,2.0,1.0,870.0,0.379,"
            Residential
        ",89000
,4.0,2.0,1100.0,0.24,"
            Residential
        ",169900
,4.0,2.0,4030.0,,"
            Residential
        ",339000
,2.0,1.0,,,"
            Residential
        ",109000
,3.0,2.0,2204.0,1.21,"
            Residential
        ",84900
,5.0,3.0,3811.0,0.474,"
            Residential
        ",649900
,2.0,2.0,960.0,1.17,"
            Residential
        ",144000
,,,,,"
            Residential
        ",165000
,2.0,1.0,,,"
            Residential
        ",79900
,4.0,2.0,1550.0,6.84,"
            Residential
        ",399900
,,,,,"
            Lots And Land
        ",149900
,6.0,3.0,5250.0,2.15,"
            Residential
        ",850000
,2.0,1.0,,,"
            Residential
        ",115000
,4.0,2.0,1860.0,,"
            Residential
        ",159900
,3.0,1.0,1650.0,,"
            Residential
        ",109000
,6.0,2.0,2200.0,0.3,"
            Residential
        ",139900
,,,,0.287,"
            Lots And Land
        ",19000
,,,,,"
            Lots And Land
        ",129500
,,,,2.5,"
            Lots And Land
        ",19900
,3.0,2.0,,,"
            Residential
        ",174000
,,,,,"
            Lots And Land
        ",39900
,4.0,1.0,2157.0,0.33,"
            Residential
        ",269000
,6.0,3.0,1160.0,0.161,"
            Residential
        ",289900
,3.0,2.0,,,"
            Residential
        ",198000
,,,,,"
            Lots And Land
        ",60000
,,,,1.0,"
            Lots And Land
        ",90000
,,,,51.0,"
            Lots And Land
        ",29900
,,,,,"
            Lots And Land
        ",25000
,,,,,"
            Lots And Land
        ",39900
,,,,1.6,"
            Lots And Land
        ",14900
,,,,,"
            Lots And Land
        ",99000
,,,,1.3,"
            Lots And Land
        ",25000
,2.0,1.0,900.0,0.9590000000000001,"
            Other
        ",245000
,4.0,1.0,1849.0,0.42,"
            Residential
        ",109900
,3.0,2.0,,,"
            Residential
        ",114000
,,,,23.0,"
            Lots And Land
        ",27000
,3.0,2.0,1522.0,,"
            Residential
        ",289000
,,,,1.1159999999999999,"
            Lots And Land
        ",47000
,4.0,1.0,,,"
            Residential
        ",39950
,3.0,3.0,1740.0,2.0,"
            Residential
        ",339000
,,,,,"
            Lots And Land
        ",139900
,4.0,2.0,,,"
            Residential
        ",144900
,3.0,1.0,1008.0,0.358,"
            Residential
        ",159900
,3.0,2.0,,,"
            Residential
        ",89900
,,,,3.5,"
            Residential
        ",39900
,3.0,2.0,1522.0,,"
            Residential
        ",289000
,,,,220.0,"
            Lots And Land
        ",60000
,4.0,2.0,1550.0,6.84,"
            Residential
        ",399900
,,,,,"
            Residential
        ",43000
,,,,3.0,"
            Lots And Land
        ",99900
,,,,,"
            Lots And Land
        ",25000
,,,,12.0,"
            Lots And Land
        ",49900
,2.0,2.0,1102.0,,"
            Condominium
        ",199900
,,,,0.287,"
            Lots And Land
        ",19000
,,,,,"
            Lots And Land
        ",8000
,,,,7.0,"
            Lots And Land
        ",40000
,4.0,3.0,2069.0,1.29,"
            Residential
        ",464900
,,,,,"
            Lots And Land
        ",345000
,,,,,"
            Lots And Land
        ",23500
,2.0,1.0,,,"
            Residential
        ",299000
,3.0,2.0,1423.0,,"
            Residential
        ",230000
,,,,6.35,"
            Residential
        ",29900
,3.0,1.0,,,"
            Residential
        ",210000
,,,,2.55,"
            Lots And Land
        ",13400
,4.0,3.0,,0.09,"
            Residential
        ",399900
,3.0,2.0,,0.226,"
            Residential
        ",309900
,5.0,2.0,,,"
            Residential
        ",169900
,2.0,,256.0,,"
            Other
        ",49900
,,,,2.1,"
            Residential
        ",109900
,3.0,3.0,2496.0,1.0,"
            Residential
        ",144900
,1.0,,320.0,0.66,"
            Residential
        ",51999
,2.0,2.0,1980.0,4.0,"
            Residential
        ",224900
,2.0,1.0,,,"
            Residential
        ",69000
,,,,,"
            Lots And Land
        ",139900
,4.0,5.0,,,"
            Residential
        ",998500
,4.0,3.0,,,"
            Residential
        ",269000
,,,,1.0,"
            Lots And Land
        ",75000
,2.0,1.0,1008.0,,"
            Residential
        ",54000
,3.0,2.0,4026.0,,"
            Residential
        ",295500
,4.0,2.0,1944.0,0.18,"
            Residential
        ",129000
,,,,10.3,"
            Lots And Land
        ",19900
,,,594.0,3.0,"
            Lots And Land
        ",25000
,,,,,"
            Lots And Land
        ",20000
,2.0,1.0,1008.0,0.25,"
            Residential
        ",129900
,,,,1.0,"
            Lots And Land
        ",35000
,3.0,2.0,2181.0,3.0,"
            Residential
        ",399900
,,,,,"
            Lots And Land
        ",189900
,5.0,4.0,5880.0,0.485,"
            Residential
        ",1090000
,4.0,3.0,3350.0,0.33399999999999996,"
            Residential
        ",389900
,3.0,2.0,2443.0,0.098,"
            Residential
        ",164900
,,,,2.1,"
            Residential
        ",109900
,,,,,"
            Lots And Land
        ",69000
,3.0,1.0,1229.0,0.38,"
            Residential
        ",89900
,,,,,"
            Lots And Land
        ",19900
,,,,,"
            Lots And Land
        ",145000
,4.0,2.0,,,"
            Residential
        ",249500
,,,,10.0,"
            Lots And Land
        ",350000
,2.0,1.0,,,"
            Residential
        ",79500
,2.0,2.0,1980.0,4.0,"
            Residential
        ",224900
,7.0,2.0,3700.0,1.8,"
            Residential
        ",495000
,2.0,1.0,,,"
            Residential
        ",89500
