Address,Beds,Baths,House Size,Lot Size,Type,Price,Postal Code
"10 Robin Dr, Fredericton, New Brunswick, E3C 1K6",5.0,2.0,1600.0,0.177,            Residential        ,259900,E3C 1K6
"03-2 Glebe Rd, Saint Andrews, New Brunswick",,,,1.14,            Residential        ,11400,E5B 2Z5
"62 Parkin Street, Salisbury, New Brunswick, E4J 2N3",3.0,2.0,3790.0,0.85,            Residential        ,549900,E4J 2N3
"14 Murray Lane, St. Andrews, New Brunswick",4.0,2.0,2200.0,1.15,            Residential        ,449500,E3L 4M6
"140 Orleans St., Dieppe, New Brunswick, E1A 1W9",4.0,3.0,2808.0,0.124,            Residential        ,236900,E1A 1W9
"41 Eagle's Passage, Greater Saint Andrews, New Brunswick",3.0,3.0,2160.0,1.0,            Residential        ,794997,E5B 0A9
"7725 Rte 515, Saint-Paul, New Brunswick",2.0,1.0,1350.0,1.0,            Residential        ,80000,E4T 3S3
"133 Daigle Rd., Pointe-Sapin, New Brunswick",4.0,2.0,2168.0,0.99,            Residential        ,169900,E8T 3C7
"93 Principale, Memramcook, New Brunswick, E4K 1A7",5.0,4.0,5286.0,6.2,            Residential        ,799900,E4K 1A7
"294 Carleton St, Saint Andrews, New Brunswick",2.0,2.0,1592.0,0.11,            Residential        ,259000,E5B 2G1
"624 Royal Oaks Boulevard, Moncton, New Brunswick, E1H 3S7",2.0,2.0,1232.0,0.134,            Residential        ,264900,E1H 3S7
"3574 Route 127, Saint Andrews, New Brunswick",,,,11.0,            Residential        ,110000,E5B 2S9
"517 Canal Rd, St. George, New Brunswick, E5C 1H6",3.0,2.0,1560.0,3.8,            Residential        ,298000,E5C 1H6
"13 Bulmer Lane, Sackville, NB, Sackville, New Brunswick, E4L 3R3",3.0,1.0,1214.0,0.4,            Residential        ,134900,E4L 3R3
"175 Daigle Rd, Pointe-Sapin, New Brunswick",1.0,,880.0,2.5,            Residential        ,74900,
"1 Baie Vista CRT, Shediac Cape, New Brunswick, E4P 2Y7",3.0,2.0,3440.0,,            Residential        ,475500,E4P 2Y7
"5185 Route 127, St. Andrews, New Brunswick",4.0,2.0,1675.0,1.17,            Residential        ,259000,E5B 3B3
"30 Berkley Drive, Riverview, New Brunswick, E1B 2L6",4.0,3.0,1735.0,869.0,            Residential        ,239900,E1B 2L6
"Lot 07-02 Comeau Point Rd, Shemogue, New Brunswick, E4N 3B4",,,,1.98,            Residential        ,34900,E4N 3B4
"48 Augustus St, Saint Andrews, New Brunswick",3.0,2.0,1778.0,0.294,            Residential        ,449000,E5B 2E7
"83 Don-De Dieu Dr, Bayside, New Brunswick",,,,1.0,            Residential        ,149000,E5B 2V1
"38 Ernest St, Saint Andrews, New Brunswick",4.0,3.0,4362.0,,            Residential        ,699000,
"45 Argyle Court, Saint Andrews, New Brunswick",,,,0.219,            Residential        ,64997,
"34 Maggie Lane, Miramichi, New Brunswick, E1V 6E4",4.0,3.0,1249.0,1.0,            Residential        ,189900,E1V 6E4
