Address,Beds,Baths,House Size (sqft),Lot Size (ac),Type,Postal Code,Price
"11 Coronation Court, Oromocto, New Brunswick, E2V2M9",4.0,2.0,,,Family,E2V2M9,169900
"5185 Route 127, St. Andrews, New Brunswick",4.0,2.0,1675.0,1.17,Residential,E5B3A7,259000
"Lot du Portage, Caraquet, New Brunswick, E1W1A8",,,,,Empty Land,E1W1A8,19000
"175 Ledden Street, Miramichi, New Brunswick, E1V 2G8",4.0,2.0,1780.0,0.134,Residential,E1V 2G8,104200
"96 Todds Point Road, Saint Stephen, New Brunswick",4.0,3.0,,,Residential,E3L3P9,269000
"56 Satinwood, Pointe-du-Chene, New Brunswick",2.0,1.0,702.0,0.10300000000000001,Residential,E4P5B7,149500
"19 BARKER Street, Oromocto, New Brunswick, E2V2K4",4.0,1.0,,,Family,E2V2K4,159900
"323 Irving BLVD, Bouctouche, New Brunswick, E4S3K8",2.0,2.0,1309.0,,Family,E4S3K8,219900
"37 Rose Street, St. Stephen, New Brunswick, E3L 2R1",2.0,1.0,730.0,0.24,Residential,E3L 2R1,69900
"421 Ryan RD, Moncton, New Brunswick, E1C2W2",3.0,2.0,1350.0,,Family,E1C2W2,189900
"124 Queen Street West, St. Stephen, New Brunswick",,,,,Family,E3L2L2,99000
"55 Maxwell Drive, Sussex, New Brunswick, E4E2E1",4.0,2.0,2180.0,,Family,E4E2E1,239900
"36 Crandall ST, Moncton, New Brunswick, E1C4C5",3.0,1.0,900.0,,Family,E1C4C5,135000
"88-6 Oceanview Lane, Upper Cape, NB, Upper Cape, New Brunswick",,,,1.1159999999999999,Empty Land,E4M2T8,47000
"207 Williams Street, Grand Falls-Grand-Sault, New Brunswick",3.0,2.0,,0.019,Family,E3Z1A9,147000
"1793 Nicholas Denys, Nicholas - Denys, New Brunswick",3.0,1.0,,,Family,E8K3J9,89900
"591 Route 935, Wood Point, NB, Greater Sackville, New Brunswick",4.0,2.0,2600.0,3.0,Residential,E4L2K7,189900
"681 Rogers Road, Long Point, New Brunswick",3.0,3.0,,,Family,E5N7W1,389900
"87-3 Pine Point Road, Saint Stephen, New Brunswick, E3L 3N6",,,,,Empty Land,E3L 3N6,179000
"2343 Route 490, Ammon, New Brunswick, E1G4R6",3.0,2.0,1200.0,,Family,E1G4R6,199900
"25 Burnett Street, Oromocto, New Brunswick, E2V0J6",4.0,3.0,,,Family,E2V0J6,360000
"40 Queen Street West, St Stephen, St. Stephen, New Brunswick, E3L2K3",2.0,1.0,1590.0,0.26,Residential,E3L2K3,87000
"42 Laforest - Spring 2020, Shediac, New Brunswick, E4P 0R8",3.0,1.0,1488.0,,Residential,E4P 0R8,255000
"1 Baie Vista CRT, Shediac Cape, New Brunswick, E4P 2Y7",3.0,2.0,3440.0,,Residential,E4P 2Y7,475500
"234 Edinburgh Street, Fredericton, New Brunswick, E3B2C9",4.0,2.0,,,Family,E3B2C9,349900
"41 Eagle's Passage, Greater Saint Andrews, New Brunswick",3.0,3.0,2160.0,1.0,Residential,E5B0A9,794997
"150 Alma ST Unit 1, Moncton, New Brunswick, E1C4Y7",2.0,2.0,1334.0,,Family,E1C4Y7,239900
