Beds,Baths,House Size (sqft),Lot Size (ac),Type,Price,Postal
4.0,2.0,1584.0,0.7240000000000001,Family,169900,E2
4.0,2.0,1675.0,1.17,Residential,259000,E5
0.0,0.0,0.0,2.2199999999999998,Empty Land,19000,E1
4.0,2.0,1780.0,0.134,Residential,104200,E1
4.0,3.0,1584.0,0.7240000000000001,Residential,269000,E3
2.0,1.0,702.0,0.103,Residential,149500,E4
4.0,1.0,1584.0,0.7240000000000001,Family,159900,E2
2.0,2.0,1309.0,0.7240000000000001,Family,219900,E4
2.0,1.0,730.0,0.24,Residential,69900,E3
3.0,2.0,1350.0,0.7240000000000001,Family,189900,E1
3.0,2.0,1584.0,0.7240000000000001,Family,99000,E3
4.0,2.0,2180.0,0.7240000000000001,Family,239900,E4
3.0,1.0,900.0,0.7240000000000001,Family,135000,E1
0.0,0.0,0.0,1.116,Empty Land,47000,E4
3.0,2.0,1584.0,0.019,Family,147000,E3
3.0,1.0,1584.0,0.7240000000000001,Family,89900,E8
4.0,2.0,2600.0,3.0,Residential,189900,E4
3.0,3.0,1584.0,0.7240000000000001,Family,389900,E5
0.0,0.0,0.0,2.2199999999999998,Empty Land,179000,E3
3.0,2.0,1200.0,0.7240000000000001,Family,199900,E1
4.0,3.0,1584.0,0.7240000000000001,Family,360000,E2
2.0,1.0,1590.0,0.26,Residential,87000,E3
3.0,1.0,1488.0,0.7240000000000001,Residential,255000,E4
3.0,2.0,3440.0,0.7240000000000001,Residential,475500,E4
4.0,2.0,1584.0,0.7240000000000001,Family,349900,E3
3.0,3.0,2160.0,1.0,Residential,794997,E5
2.0,2.0,1334.0,0.7240000000000001,Family,239900,E1
3.0,2.0,1584.0,0.215,Family,189900,E2
3.0,2.0,1400.0,0.7240000000000001,Family,259900,E4
2.0,1.0,1100.0,0.7240000000000001,Family,149900,E3
3.0,1.0,1584.0,0.7240000000000001,Family,225000,E2
3.0,2.0,1584.0,95.88,Residential,275000,E4
3.0,2.0,4026.0,0.7240000000000001,Residential,295500,E3
0.0,0.0,0.0,2.2199999999999998,Empty Land,19900,E4
5.0,2.0,1584.0,0.7240000000000001,Family,149900,E2
2.0,2.0,1592.0,0.11,Residential,259000,E5
3.0,1.0,750.0,0.7240000000000001,Family,64900,E1
4.0,2.0,2335.0,0.7240000000000001,Family,374999,E3
0.0,0.0,0.0,2.2199999999999998,Empty Land,59900,E3
2.0,3.0,1720.0,0.7240000000000001,Family,364900,E1
3.0,2.0,1584.0,0.7240000000000001,Residential,89900,E5
5.0,2.0,1584.0,0.7240000000000001,Residential,169900,E3
0.0,0.0,0.0,0.18,Empty Land,24900,E1
0.0,0.0,0.0,2.2199999999999998,Empty Land,69500,E2
3.0,2.0,1584.0,4.0,Residential,450000,E1
3.0,2.0,1584.0,0.7240000000000001,Family,269900,E4
4.0,1.0,1632.0,1.55,Residential,124900,E4
3.0,2.0,1584.0,0.7240000000000001,Family,139900,E2
6.0,2.0,1584.0,0.7240000000000001,Family,59000,E3
4.0,1.0,1272.0,0.028,Residential,129000,E5
1.0,1.0,1584.0,0.402,Family,89900,E2
0.0,0.0,0.0,2.2199999999999998,Empty Land,129500,E2
4.0,2.0,1077.0,0.7240000000000001,Family,230000,E1
3.0,1.0,1209.0,0.195,Residential,144900,E3
3.0,1.0,1200.0,0.7240000000000001,Family,114900,E7
6.0,2.0,2200.0,0.3,Residential,139900,E4
2.0,2.0,2000.0,0.7240000000000001,Family,159500,E3
10.0,4.0,4000.0,0.7240000000000001,Family,289900,E1
4.0,2.0,1860.0,0.7240000000000001,Residential,159900,E1
2.0,1.0,1584.0,0.7240000000000001,Residential,55000,E5
4.0,2.0,1584.0,0.7240000000000001,Family,254900,E3
3.0,2.0,1584.0,0.109,Family,99900,E7
3.0,2.0,1584.0,0.7240000000000001,Family,74800,E2
0.0,0.0,594.0,3.0,Empty Land,25000,E5
0.0,0.0,0.0,2.2199999999999998,Empty Land,39500,E3
3.0,1.0,1584.0,0.7240000000000001,Residential,89500,E3
3.0,2.0,1584.0,0.7240000000000001,Family,339900,E2
5.0,3.0,3811.0,0.474,Residential,649900,E1
